power.draw [W]
43.75 W
42.85 W
42.65 W
42.74 W
42.85 W
43.65 W
44.62 W
43.53 W
45.23 W
45.23 W
52.33 W
52.43 W
68.99 W
68.28 W
68.18 W
69.36 W
69.25 W
69.17 W
69.36 W
69.35 W
69.84 W
65.13 W
65.32 W
65.53 W
65.62 W
67.12 W
65.33 W
65.82 W
65.82 W
66.03 W
66.13 W
65.71 W
66.52 W
66.58 W
65.73 W
66.62 W
65.13 W
42.85 W
43.03 W
42.36 W
42.75 W
42.46 W
42.46 W
42.65 W
42.65 W
42.56 W
42.56 W
42.65 W
42.46 W
42.26 W
42.36 W
42.46 W
42.36 W
42.46 W
42.36 W
42.65 W
42.35 W
42.12 W
42.15 W
42.15 W
42.26 W
47.49 W
51.73 W
51.72 W
80.18 W
78.30 W
79.48 W
80.87 W
80.87 W
80.97 W
80.87 W
80.97 W
80.97 W
81.06 W
80.97 W
81.06 W
81.04 W
81.26 W
81.04 W
81.14 W
81.04 W
81.14 W
81.14 W
81.06 W
81.33 W
81.26 W
81.16 W
81.04 W
81.36 W
80.97 W
81.04 W
81.06 W
81.24 W
81.26 W
81.16 W
81.16 W
81.04 W
80.94 W
80.75 W
80.65 W
80.75 W
80.67 W
80.77 W
80.37 W
79.29 W
79.48 W
79.48 W
79.29 W
79.68 W
81.26 W
81.16 W
81.26 W
81.26 W
81.24 W
81.06 W
80.94 W
80.97 W
80.94 W
80.87 W
80.75 W
80.87 W
80.77 W
80.58 W
79.77 W
79.38 W
78.98 W
78.59 W
78.40 W
78.30 W
76.24 W
75.54 W
75.64 W
74.64 W
71.64 W
70.05 W
66.39 W
66.95 W
235.59 W
236.23 W
248.71 W
240.57 W
222.70 W
150.25 W
297.12 W
109.65 W
262.94 W
277.14 W
96.04 W
159.10 W
286.57 W
230.25 W
109.49 W
158.42 W
247.23 W
309.77 W
272.33 W
181.42 W
181.45 W
181.67 W
237.14 W
296.16 W
226.03 W
122.26 W
228.47 W
135.57 W
152.80 W
209.53 W
170.16 W
111.77 W
190.87 W
213.57 W
212.16 W
124.68 W
162.62 W
104.92 W
147.05 W
152.32 W
99.25 W
105.64 W
88.41 W
68.16 W
83.71 W
83.68 W
83.51 W
83.68 W
83.58 W
83.61 W
83.49 W
83.51 W
83.41 W
83.39 W
83.49 W
83.41 W
83.39 W
83.41 W
83.32 W
83.32 W
83.29 W
83.39 W
83.41 W
83.32 W
83.32 W
83.22 W
83.32 W
83.29 W
83.41 W
83.32 W
83.32 W
83.12 W
83.32 W
83.19 W
83.19 W
83.29 W
83.19 W
83.22 W
83.12 W
83.10 W
83.12 W
82.79 W
82.91 W
82.72 W
82.53 W
82.43 W
82.12 W
82.12 W
81.14 W
81.33 W
81.54 W
81.53 W
82.79 W
82.69 W
82.79 W
82.81 W
82.69 W
82.69 W
82.69 W
82.50 W
82.40 W
82.50 W
82.42 W
82.43 W
82.21 W
82.12 W
81.93 W
82.03 W
81.65 W
81.06 W
80.58 W
80.44 W
80.57 W
80.18 W
79.48 W
77.91 W
77.03 W
76.82 W
76.32 W
75.34 W
67.27 W
66.78 W
66.87 W
66.78 W
66.87 W
67.57 W
69.94 W
66.71 W
66.81 W
70.76 W
70.93 W
70.93 W
71.12 W
70.27 W
71.23 W
71.14 W
71.12 W
