power.draw [W]
252.82 W
235.54 W
244.36 W
251.67 W
250.41 W
249.63 W
241.74 W
251.95 W
258.13 W
249.78 W
251.83 W
245.19 W
241.29 W
241.73 W
246.68 W
254.18 W
256.75 W
255.47 W
251.39 W
243.37 W
240.47 W
235.07 W
249.74 W
255.54 W
255.50 W
249.65 W
249.83 W
242.73 W
241.72 W
249.76 W
247.92 W
249.00 W
257.04 W
254.65 W
246.49 W
242.12 W
62.17 W
65.03 W
67.37 W
67.21 W
67.10 W
67.08 W
65.84 W
65.84 W
65.73 W
65.62 W
65.50 W
65.62 W
65.42 W
65.42 W
65.42 W
65.42 W
65.42 W
64.74 W
41.96 W
41.76 W
41.76 W
41.76 W
41.76 W
41.66 W
41.57 W
41.66 W
41.57 W
41.57 W
41.57 W
41.57 W
41.47 W
41.37 W
41.86 W
41.86 W
41.86 W
41.86 W
41.76 W
41.76 W
41.76 W
41.76 W
41.76 W
41.76 W
42.76 W
42.56 W
50.05 W
66.87 W
63.79 W
65.23 W
76.64 W
79.68 W
79.68 W
80.08 W
79.80 W
79.91 W
79.89 W
80.20 W
79.87 W
79.89 W
80.08 W
79.97 W
80.08 W
80.10 W
80.08 W
79.87 W
79.87 W
79.98 W
80.08 W
80.27 W
80.18 W
80.08 W
80.08 W
80.18 W
80.18 W
80.08 W
80.00 W
79.87 W
80.08 W
80.08 W
79.97 W
80.08 W
80.18 W
80.08 W
79.87 W
80.08 W
79.89 W
79.97 W
79.77 W
79.50 W
79.60 W
79.68 W
79.19 W
78.89 W
78.61 W
78.05 W
77.93 W
77.63 W
78.52 W
79.98 W
79.97 W
79.98 W
80.07 W
79.97 W
79.98 W
79.88 W
79.58 W
79.60 W
79.21 W
79.60 W
79.58 W
79.50 W
79.41 W
79.19 W
78.91 W
78.62 W
78.52 W
77.65 W
77.15 W
76.36 W
75.48 W
74.49 W
74.29 W
72.71 W
68.77 W
68.68 W
70.25 W
220.69 W
130.25 W
112.21 W
301.07 W
147.70 W
321.83 W
103.90 W
204.57 W
265.55 W
133.26 W
304.67 W
182.09 W
109.96 W
245.60 W
225.81 W
119.22 W
179.67 W
237.04 W
307.82 W
304.85 W
303.03 W
279.88 W
302.65 W
160.68 W
116.64 W
173.94 W
202.09 W
112.64 W
207.85 W
155.66 W
241.86 W
120.53 W
233.00 W
146.44 W
93.05 W
110.68 W
99.68 W
162.79 W
159.66 W
171.42 W
96.79 W
128.91 W
103.58 W
93.90 W
71.03 W
81.95 W
82.35 W
82.45 W
82.45 W
82.35 W
82.05 W
82.45 W
82.24 W
82.24 W
82.15 W
82.24 W
82.34 W
82.24 W
82.05 W
82.15 W
82.05 W
82.05 W
82.24 W
82.05 W
82.35 W
82.05 W
82.15 W
81.95 W
81.86 W
82.05 W
82.05 W
82.24 W
81.95 W
82.05 W
82.05 W
82.05 W
82.05 W
81.95 W
82.15 W
81.86 W
82.05 W
82.05 W
81.66 W
81.56 W
81.36 W
81.66 W
81.66 W
81.06 W
81.16 W
80.48 W
79.29 W
80.58 W
79.77 W
81.55 W
81.36 W
81.55 W
81.26 W
81.55 W
81.45 W
81.66 W
81.45 W
81.26 W
81.16 W
81.06 W
80.97 W
81.16 W
80.97 W
81.06 W
80.87 W
80.77 W
80.48 W
80.27 W
80.20 W
79.58 W
79.58 W
78.23 W
77.06 W
76.36 W
75.49 W
75.48 W
74.99 W
66.82 W
65.84 W
65.83 W
65.73 W
65.73 W
65.94 W
65.92 W
68.81 W
69.49 W
65.43 W
69.78 W
69.89 W
69.89 W
70.08 W
69.89 W
69.68 W
69.39 W
70.08 W
65.53 W
