Sampling current and voltage from /sys/devices/pci0000:c0/0000:c0:01.1/0000:c3:00.1/xmc.u.19922944
Cadence = 0.1 seconds
Time, Current, Voltage
2022-11-17T11:21:29,279798582+0000, 1409, 12307
2022-11-17T11:21:29,386409958+0000, 1409, 12307
2022-11-17T11:21:29,493373088+0000, 1409, 12307
2022-11-17T11:21:29,600431536+0000, 1409, 12307
2022-11-17T11:21:29,708169929+0000, 1409, 12307
2022-11-17T11:21:29,815657856+0000, 1409, 12307
2022-11-17T11:21:29,923363679+0000, 1409, 12307
2022-11-17T11:21:30,041202097+0000, 1394, 12356
2022-11-17T11:21:30,148755706+0000, 1394, 12356
2022-11-17T11:21:30,255790470+0000, 1394, 12356
2022-11-17T11:21:30,362683429+0000, 1394, 12356
2022-11-17T11:21:30,469635108+0000, 1394, 12356
2022-11-17T11:21:30,578201413+0000, 1394, 12356
2022-11-17T11:21:30,685568365+0000, 1394, 12356
2022-11-17T11:21:30,793244303+0000, 1394, 12356
2022-11-17T11:21:30,900863113+0000, 1394, 12356
2022-11-17T11:21:31,009432875+0000, 1394, 12356
2022-11-17T11:21:31,129063579+0000, 1394, 12356
2022-11-17T11:21:31,236152454+0000, 1394, 12356
2022-11-17T11:21:31,342922234+0000, 1394, 12356
2022-11-17T11:21:31,450162810+0000, 1394, 12356
2022-11-17T11:21:31,558021388+0000, 1394, 12356
2022-11-17T11:21:31,665933345+0000, 1394, 12356
2022-11-17T11:21:31,772575156+0000, 1394, 12356
2022-11-17T11:21:31,879235593+0000, 1394, 12356
2022-11-17T11:21:31,986102214+0000, 1394, 12356
2022-11-17T11:21:32,094024480+0000, 1394, 12356
2022-11-17T11:21:32,212613164+0000, 1406, 12281
2022-11-17T11:21:32,320798680+0000, 1406, 12281
2022-11-17T11:21:32,428642229+0000, 1406, 12281
2022-11-17T11:21:32,535615919+0000, 1406, 12281
2022-11-17T11:21:32,643130917+0000, 1406, 12281
2022-11-17T11:21:32,751187613+0000, 1406, 12281
2022-11-17T11:21:32,859077348+0000, 1406, 12281
2022-11-17T11:21:32,965584740+0000, 1406, 12281
2022-11-17T11:21:33,072873827+0000, 1406, 12281
2022-11-17T11:21:33,179413740+0000, 1406, 12281
2022-11-17T11:21:33,297124079+0000, 1406, 12281
2022-11-17T11:21:33,404098420+0000, 1406, 12281
2022-11-17T11:21:33,512209066+0000, 1406, 12281
2022-11-17T11:21:33,619399490+0000, 1406, 12281
2022-11-17T11:21:33,726254990+0000, 1406, 12281
2022-11-17T11:21:33,832813697+0000, 1406, 12281
2022-11-17T11:21:33,939691588+0000, 1406, 12281
2022-11-17T11:21:34,046785793+0000, 1406, 12281
2022-11-17T11:21:34,153333680+0000, 1406, 12281
2022-11-17T11:21:34,260342275+0000, 1406, 12281
2022-11-17T11:21:34,379828109+0000, 1406, 12281
2022-11-17T11:21:34,487533662+0000, 1406, 12281
2022-11-17T11:21:34,594625371+0000, 1406, 12281
2022-11-17T11:21:34,701548267+0000, 1406, 12281
2022-11-17T11:21:34,808869674+0000, 1406, 12281
2022-11-17T11:21:34,915605361+0000, 1406, 12281
2022-11-17T11:21:35,022029868+0000, 1406, 12281
2022-11-17T11:21:35,128496274+0000, 1406, 12281
2022-11-17T11:21:35,236130193+0000, 1406, 12281
2022-11-17T11:21:35,343917668+0000, 1406, 12281
2022-11-17T11:21:35,462623751+0000, 1400, 12307
2022-11-17T11:21:35,570350042+0000, 1400, 12307
2022-11-17T11:21:35,677499459+0000, 1400, 12307
2022-11-17T11:21:35,785429800+0000, 1400, 12307
2022-11-17T11:21:35,892900194+0000, 1400, 12307
2022-11-17T11:21:36,000547208+0000, 1400, 12307
2022-11-17T11:21:36,107836505+0000, 1400, 12307
2022-11-17T11:21:36,215203157+0000, 1400, 12307
2022-11-17T11:21:36,321847914+0000, 1400, 12307
2022-11-17T11:21:36,428539639+0000, 1400, 12307
2022-11-17T11:21:36,546214272+0000, 1400, 12307
2022-11-17T11:21:36,653730071+0000, 1400, 12307
2022-11-17T11:21:36,761980167+0000, 1400, 12307
2022-11-17T11:21:36,868586864+0000, 1400, 12307
2022-11-17T11:21:36,975846076+0000, 1400, 12307
2022-11-17T11:21:37,082543772+0000, 1400, 12307
2022-11-17T11:21:37,189247158+0000, 1400, 12307
2022-11-17T11:21:37,296570760+0000, 1400, 12307
2022-11-17T11:21:37,404514195+0000, 1400, 12307
2022-11-17T11:21:37,512037649+0000, 1400, 12307
2022-11-17T11:21:37,631791763+0000, 1400, 12307
2022-11-17T11:21:37,739230538+0000, 1400, 12307
2022-11-17T11:21:37,846898631+0000, 1400, 12307
2022-11-17T11:21:37,954094284+0000, 1400, 12307
2022-11-17T11:21:38,061717664+0000, 1400, 12307
2022-11-17T11:21:38,169433405+0000, 1400, 12307
2022-11-17T11:21:38,276885977+0000, 1400, 12307
2022-11-17T11:21:38,384305927+0000, 1400, 12307
2022-11-17T11:21:38,490891665+0000, 1400, 12307
2022-11-17T11:21:38,597464469+0000, 1400, 12307
2022-11-17T11:21:38,715614797+0000, 1418, 12294
2022-11-17T11:21:38,822921286+0000, 1418, 12294
2022-11-17T11:21:38,931440474+0000, 1418, 12294
2022-11-17T11:21:39,038743527+0000, 1418, 12294
2022-11-17T11:21:39,145465769+0000, 1418, 12294
2022-11-17T11:21:39,252969636+0000, 1418, 12294
2022-11-17T11:21:39,359683642+0000, 1418, 12294
2022-11-17T11:21:39,467400856+0000, 1418, 12294
2022-11-17T11:21:39,575867546+0000, 1418, 12294
2022-11-17T11:21:39,683338101+0000, 1418, 12294
2022-11-17T11:21:39,801324153+0000, 1418, 12294
2022-11-17T11:21:39,907961908+0000, 1418, 12294
2022-11-17T11:21:40,014533759+0000, 1418, 12294
2022-11-17T11:21:40,122190631+0000, 1418, 12294
2022-11-17T11:21:40,230697746+0000, 1418, 12294
2022-11-17T11:21:40,338005087+0000, 1418, 12294
2022-11-17T11:21:40,444562753+0000, 1418, 12294
2022-11-17T11:21:40,551157447+0000, 1418, 12294
2022-11-17T11:21:40,658294080+0000, 1418, 12294
2022-11-17T11:21:40,765531491+0000, 1418, 12294
2022-11-17T11:21:40,883708679+0000, 1394, 12308
2022-11-17T11:21:40,991561496+0000, 1394, 12308
2022-11-17T11:21:41,099967342+0000, 1394, 12308
2022-11-17T11:21:41,207415235+0000, 1394, 12308
2022-11-17T11:21:41,314527934+0000, 1394, 12308
2022-11-17T11:21:41,421726913+0000, 1394, 12308
2022-11-17T11:21:41,529589127+0000, 1394, 12308
2022-11-17T11:21:41,636710011+0000, 1394, 12308
2022-11-17T11:21:41,743503215+0000, 1394, 12308
2022-11-17T11:21:41,850212924+0000, 1394, 12308
2022-11-17T11:21:41,968907245+0000, 1394, 12308
2022-11-17T11:21:42,075950665+0000, 1394, 12308
2022-11-17T11:21:42,184714227+0000, 1394, 12308
2022-11-17T11:21:42,292251506+0000, 1394, 12308
2022-11-17T11:21:42,398895953+0000, 1394, 12308
2022-11-17T11:21:42,505589281+0000, 1394, 12308
2022-11-17T11:21:42,612375682+0000, 1394, 12308
2022-11-17T11:21:42,720653691+0000, 1394, 12308
2022-11-17T11:21:42,828184788+0000, 1394, 12308
2022-11-17T11:21:42,936087338+0000, 1394, 12308
2022-11-17T11:21:43,053845295+0000, 1394, 12308
2022-11-17T11:21:43,160683403+0000, 1394, 12308
2022-11-17T11:21:43,267830906+0000, 1394, 12308
2022-11-17T11:21:43,375771046+0000, 1394, 12308
2022-11-17T11:21:43,484030179+0000, 1394, 12308
2022-11-17T11:21:43,590747191+0000, 1394, 12308
2022-11-17T11:21:43,697435600+0000, 1394, 12308
2022-11-17T11:21:43,804741939+0000, 1394, 12308
2022-11-17T11:21:43,913219489+0000, 1394, 12308
2022-11-17T11:21:44,020643808+0000, 1394, 12308
2022-11-17T11:21:44,139818994+0000, 1396, 12311
2022-11-17T11:21:44,246851854+0000, 1396, 12311
2022-11-17T11:21:44,353517621+0000, 1396, 12311
2022-11-17T11:21:44,460370526+0000, 1396, 12311
2022-11-17T11:21:44,567946036+0000, 1396, 12311
2022-11-17T11:21:44,675531325+0000, 1396, 12311
2022-11-17T11:21:44,783247487+0000, 1396, 12311
2022-11-17T11:21:44,890531966+0000, 1396, 12311
2022-11-17T11:21:44,997215315+0000, 1396, 12311
2022-11-17T11:21:45,103929983+0000, 1396, 12311
2022-11-17T11:21:45,222459317+0000, 1396, 12311
2022-11-17T11:21:45,329416035+0000, 1396, 12311
2022-11-17T11:21:45,437325066+0000, 1396, 12311
2022-11-17T11:21:45,545287327+0000, 1396, 12311
2022-11-17T11:21:45,651850543+0000, 1396, 12311
2022-11-17T11:21:45,758353426+0000, 1396, 12311
2022-11-17T11:21:45,865286500+0000, 1396, 12311
2022-11-17T11:21:45,972577211+0000, 1396, 12311
2022-11-17T11:21:46,079787120+0000, 1396, 12311
2022-11-17T11:21:46,187362110+0000, 1396, 12311
2022-11-17T11:21:46,305859174+0000, 1386, 12312
2022-11-17T11:21:46,413555329+0000, 1386, 12312
2022-11-17T11:21:46,521247466+0000, 1386, 12312
2022-11-17T11:21:46,629066750+0000, 1386, 12312
2022-11-17T11:21:46,736696422+0000, 1386, 12312
2022-11-17T11:21:46,845062334+0000, 1386, 12312
2022-11-17T11:21:46,952028530+0000, 1386, 12312
2022-11-17T11:21:47,058591194+0000, 1386, 12312
2022-11-17T11:21:47,166242746+0000, 1386, 12312
2022-11-17T11:21:47,272805091+0000, 1386, 12312
2022-11-17T11:21:47,390298265+0000, 1386, 12312
2022-11-17T11:21:47,498593145+0000, 1386, 12312
2022-11-17T11:21:47,606547511+0000, 1386, 12312
2022-11-17T11:21:47,713887803+0000, 1386, 12312
2022-11-17T11:21:47,820418539+0000, 1386, 12312
2022-11-17T11:21:47,927954195+0000, 1386, 12312
2022-11-17T11:21:48,035638929+0000, 1386, 12312
2022-11-17T11:21:48,144253564+0000, 1386, 12312
2022-11-17T11:21:48,250970916+0000, 1386, 12312
2022-11-17T11:21:48,357603702+0000, 1386, 12312
2022-11-17T11:21:48,475961516+0000, 1386, 12312
2022-11-17T11:21:48,582509504+0000, 1386, 12312
2022-11-17T11:21:48,689767293+0000, 1386, 12312
2022-11-17T11:21:48,797504404+0000, 1386, 12312
2022-11-17T11:21:48,904440785+0000, 1386, 12312
2022-11-17T11:21:49,010911498+0000, 1386, 12312
2022-11-17T11:21:49,118413051+0000, 1386, 12312
2022-11-17T11:21:49,225342068+0000, 1386, 12312
2022-11-17T11:21:49,333476829+0000, 1386, 12312
2022-11-17T11:21:49,440769703+0000, 1386, 12312
2022-11-17T11:21:49,559095108+0000, 1424, 12309
2022-11-17T11:21:49,665856282+0000, 1424, 12309
2022-11-17T11:21:49,772363534+0000, 1424, 12309
2022-11-17T11:21:49,879634187+0000, 1424, 12309
2022-11-17T11:21:49,986592007+0000, 1424, 12309
2022-11-17T11:21:50,095192746+0000, 1424, 12309
2022-11-17T11:21:50,202466174+0000, 1424, 12309
2022-11-17T11:21:50,310875196+0000, 1424, 12309
2022-11-17T11:21:50,417425769+0000, 1424, 12309
2022-11-17T11:21:50,524015684+0000, 1424, 12309
2022-11-17T11:21:50,643181944+0000, 1424, 12309
2022-11-17T11:21:50,750605361+0000, 1424, 12309
2022-11-17T11:21:50,858053044+0000, 1424, 12309
2022-11-17T11:21:50,965458117+0000, 1424, 12309
2022-11-17T11:21:51,073359083+0000, 1424, 12309
2022-11-17T11:21:51,180506667+0000, 1424, 12309
2022-11-17T11:21:51,287522936+0000, 1424, 12309
2022-11-17T11:21:51,396042705+0000, 1424, 12309
2022-11-17T11:21:51,502961122+0000, 1424, 12309
2022-11-17T11:21:51,609631196+0000, 1424, 12309
2022-11-17T11:21:51,727857396+0000, 1391, 12309
2022-11-17T11:21:51,834485352+0000, 1391, 12309
2022-11-17T11:21:51,940961887+0000, 1391, 12309
2022-11-17T11:21:52,048920791+0000, 1391, 12309
2022-11-17T11:21:52,156966627+0000, 1391, 12309
2022-11-17T11:21:52,263804274+0000, 1391, 12309
2022-11-17T11:21:52,371289105+0000, 1391, 12309
2022-11-17T11:21:52,477983626+0000, 1391, 12309
2022-11-17T11:21:52,584530551+0000, 1391, 12309
2022-11-17T11:21:52,692014982+0000, 1391, 12309
2022-11-17T11:21:52,810855285+0000, 1391, 12309
2022-11-17T11:21:52,918115188+0000, 1391, 12309
2022-11-17T11:21:53,025440032+0000, 1391, 12309
2022-11-17T11:21:53,132445661+0000, 1391, 12309
2022-11-17T11:21:53,238955698+0000, 1391, 12309
2022-11-17T11:21:53,345472307+0000, 1391, 12309
2022-11-17T11:21:53,452924357+0000, 1391, 12309
2022-11-17T11:21:53,560496862+0000, 1391, 12309
2022-11-17T11:21:53,668218916+0000, 1391, 12309
2022-11-17T11:21:53,774835050+0000, 1391, 12309
2022-11-17T11:21:53,893780008+0000, 1391, 12309
2022-11-17T11:21:54,000489786+0000, 1391, 12309
2022-11-17T11:21:54,107914977+0000, 1391, 12309
2022-11-17T11:21:54,215333144+0000, 1391, 12309
2022-11-17T11:21:54,323018029+0000, 1391, 12309
2022-11-17T11:21:54,430820371+0000, 1391, 12309
2022-11-17T11:21:54,538354475+0000, 1391, 12309
2022-11-17T11:21:54,645853563+0000, 1391, 12309
2022-11-17T11:21:54,752840768+0000, 1391, 12309
2022-11-17T11:21:54,859426085+0000, 1391, 12309
2022-11-17T11:21:54,979253165+0000, 1396, 12302
2022-11-17T11:21:55,086622582+0000, 1396, 12302
2022-11-17T11:21:55,194591405+0000, 1396, 12302
2022-11-17T11:21:55,301345746+0000, 1396, 12302
2022-11-17T11:21:55,408177442+0000, 1396, 12302
2022-11-17T11:21:55,515662694+0000, 1396, 12302
2022-11-17T11:21:55,624049095+0000, 1396, 12302
2022-11-17T11:21:55,730987950+0000, 1396, 12302
2022-11-17T11:21:55,837733956+0000, 1396, 12302
2022-11-17T11:21:55,944361592+0000, 1396, 12302
2022-11-17T11:21:56,062409810+0000, 1396, 12302
2022-11-17T11:21:56,169986242+0000, 1396, 12302
2022-11-17T11:21:56,277780089+0000, 1396, 12302
2022-11-17T11:21:56,385070298+0000, 1396, 12302
2022-11-17T11:21:56,491744561+0000, 1396, 12302
2022-11-17T11:21:56,598240131+0000, 1396, 12302
2022-11-17T11:21:56,704895688+0000, 1396, 12302
2022-11-17T11:21:56,811798697+0000, 1396, 12302
2022-11-17T11:21:56,919370390+0000, 1396, 12302
2022-11-17T11:21:57,027914785+0000, 1396, 12302
2022-11-17T11:21:57,146627019+0000, 1404, 12305
2022-11-17T11:21:57,254372346+0000, 1404, 12305
2022-11-17T11:21:57,361616229+0000, 1404, 12305
2022-11-17T11:21:57,469178234+0000, 1404, 12305
2022-11-17T11:21:57,575728826+0000, 1404, 12305
2022-11-17T11:21:57,682514376+0000, 1404, 12305
2022-11-17T11:21:57,789082561+0000, 1404, 12305
2022-11-17T11:21:57,897192016+0000, 1404, 12305
2022-11-17T11:21:58,005471237+0000, 1404, 12305
2022-11-17T11:21:58,112971437+0000, 1404, 12305
2022-11-17T11:21:58,230705650+0000, 1404, 12305
2022-11-17T11:21:58,338434687+0000, 1404, 12305
2022-11-17T11:21:58,445560330+0000, 1404, 12305
2022-11-17T11:21:58,553553478+0000, 1404, 12305
2022-11-17T11:21:58,661266634+0000, 1404, 12305
2022-11-17T11:21:58,768055250+0000, 1404, 12305
2022-11-17T11:21:58,875099882+0000, 1404, 12305
2022-11-17T11:21:58,982921471+0000, 1404, 12305
2022-11-17T11:21:59,091110904+0000, 1404, 12305
2022-11-17T11:21:59,198240625+0000, 1404, 12305
2022-11-17T11:21:59,315810813+0000, 1404, 12305
2022-11-17T11:21:59,422282679+0000, 1404, 12305
2022-11-17T11:21:59,528769813+0000, 1404, 12305
2022-11-17T11:21:59,635567075+0000, 1404, 12305
2022-11-17T11:21:59,742842476+0000, 1404, 12305
2022-11-17T11:21:59,850326807+0000, 1404, 12305
2022-11-17T11:21:59,957393761+0000, 1404, 12305
2022-11-17T11:22:00,064652852+0000, 1404, 12305
2022-11-17T11:22:00,171476713+0000, 1404, 12305
2022-11-17T11:22:00,278713493+0000, 1404, 12305
2022-11-17T11:22:00,396535039+0000, 1431, 12356
2022-11-17T11:22:00,503266859+0000, 1431, 12356
2022-11-17T11:22:00,610176680+0000, 1431, 12356
2022-11-17T11:22:00,719954240+0000, 1431, 12356
2022-11-17T11:22:00,827515735+0000, 1431, 12356
2022-11-17T11:22:00,935050530+0000, 1431, 12356
2022-11-17T11:22:01,041974697+0000, 1431, 12356
2022-11-17T11:22:01,149586526+0000, 1431, 12356
2022-11-17T11:22:01,257238348+0000, 1431, 12356
2022-11-17T11:22:01,365511167+0000, 1431, 12356
2022-11-17T11:22:01,487859311+0000, 1431, 12356
2022-11-17T11:22:01,594488620+0000, 1431, 12356
2022-11-17T11:22:01,701016680+0000, 1431, 12356
2022-11-17T11:22:01,808802652+0000, 1431, 12356
2022-11-17T11:22:01,916963282+0000, 1431, 12356
2022-11-17T11:22:02,024100326+0000, 1431, 12356
2022-11-17T11:22:02,131597180+0000, 1431, 12356
2022-11-17T11:22:02,239150850+0000, 1431, 12356
2022-11-17T11:22:02,345822999+0000, 1431, 12356
2022-11-17T11:22:02,453267025+0000, 1431, 12356
2022-11-17T11:22:02,571850550+0000, 1431, 12356
2022-11-17T11:22:02,679177087+0000, 1431, 12356
2022-11-17T11:22:02,786084393+0000, 1431, 12356
2022-11-17T11:22:02,893414497+0000, 1431, 12356
2022-11-17T11:22:03,000597016+0000, 1431, 12356
2022-11-17T11:22:03,107890521+0000, 1431, 12356
2022-11-17T11:22:03,215652418+0000, 1431, 12356
2022-11-17T11:22:03,323475300+0000, 1431, 12356
2022-11-17T11:22:03,429894938+0000, 1431, 12356
2022-11-17T11:22:03,536448175+0000, 1431, 12356
2022-11-17T11:22:03,654431072+0000, 1430, 12309
2022-11-17T11:22:03,761007833+0000, 1430, 12309
2022-11-17T11:22:03,867756254+0000, 1430, 12309
2022-11-17T11:22:03,974579965+0000, 1430, 12309
2022-11-17T11:22:04,081656987+0000, 1430, 12309
2022-11-17T11:22:04,188720915+0000, 1430, 12309
2022-11-17T11:22:04,295939521+0000, 1430, 12309
2022-11-17T11:22:04,403657838+0000, 1430, 12309
2022-11-17T11:22:04,511360785+0000, 1430, 12309
2022-11-17T11:22:04,618329486+0000, 1430, 12309
2022-11-17T11:22:04,736209391+0000, 1430, 12309
2022-11-17T11:22:04,842877633+0000, 1430, 12309
2022-11-17T11:22:04,950337297+0000, 1430, 12309
2022-11-17T11:22:05,057251857+0000, 1430, 12309
2022-11-17T11:22:05,164890846+0000, 1430, 12309
2022-11-17T11:22:05,272303043+0000, 1430, 12309
2022-11-17T11:22:05,380142665+0000, 1430, 12309
2022-11-17T11:22:05,487103361+0000, 1430, 12309
2022-11-17T11:22:05,593738451+0000, 1430, 12309
2022-11-17T11:22:05,701369184+0000, 1430, 12309
2022-11-17T11:22:05,819161395+0000, 1404, 12302
2022-11-17T11:22:05,926154011+0000, 1404, 12302
2022-11-17T11:22:06,033641768+0000, 1404, 12302
2022-11-17T11:22:06,140823766+0000, 1404, 12302
2022-11-17T11:22:06,248166483+0000, 1404, 12302
2022-11-17T11:22:06,354651153+0000, 1404, 12302
2022-11-17T11:22:06,461472970+0000, 1404, 12302
2022-11-17T11:22:06,568371160+0000, 1404, 12302
2022-11-17T11:22:06,675478839+0000, 1404, 12302
2022-11-17T11:22:06,782342925+0000, 1404, 12302
2022-11-17T11:22:06,901443663+0000, 1404, 12302
2022-11-17T11:22:07,008738972+0000, 1404, 12302
2022-11-17T11:22:07,116269769+0000, 1404, 12302
2022-11-17T11:22:07,223733301+0000, 1404, 12302
2022-11-17T11:22:07,330652800+0000, 1404, 12302
2022-11-17T11:22:07,437840840+0000, 1404, 12302
2022-11-17T11:22:07,545564796+0000, 1404, 12302
2022-11-17T11:22:07,653099541+0000, 1404, 12302
2022-11-17T11:22:07,760457306+0000, 1404, 12302
2022-11-17T11:22:07,867250971+0000, 1404, 12302
2022-11-17T11:22:07,985393916+0000, 1404, 12302
2022-11-17T11:22:08,093332683+0000, 1404, 12302
2022-11-17T11:22:08,201051009+0000, 1404, 12302
2022-11-17T11:22:08,308181661+0000, 1404, 12302
