Sampling current and voltage from /sys/devices/pci0000:c0/0000:c0:01.1/0000:c3:00.1/xmc.u.19922944
Cadence = 0.1 seconds
Time, Current, Voltage
2022-11-17T11:21:14,867061509+0000, 1364, 12337
2022-11-17T11:21:14,976406353+0000, 1364, 12337
2022-11-17T11:21:15,084123868+0000, 1364, 12337
2022-11-17T11:21:15,191796479+0000, 1364, 12337
2022-11-17T11:21:15,299875888+0000, 1364, 12337
2022-11-17T11:21:15,407157210+0000, 1364, 12337
2022-11-17T11:21:15,513544348+0000, 1364, 12337
2022-11-17T11:21:15,620975459+0000, 1364, 12337
2022-11-17T11:21:15,729287380+0000, 1364, 12337
2022-11-17T11:21:15,836948550+0000, 1364, 12337
2022-11-17T11:21:15,954867037+0000, 1391, 12292
2022-11-17T11:21:16,062040358+0000, 1391, 12292
2022-11-17T11:21:16,168771196+0000, 1391, 12292
2022-11-17T11:21:16,275991134+0000, 1391, 12292
2022-11-17T11:21:16,383537480+0000, 1391, 12292
2022-11-17T11:21:16,491009868+0000, 1391, 12292
2022-11-17T11:21:16,597836644+0000, 1391, 12292
2022-11-17T11:21:16,705066862+0000, 1391, 12292
2022-11-17T11:21:16,811705317+0000, 1391, 12292
2022-11-17T11:21:16,918372717+0000, 1391, 12292
2022-11-17T11:21:17,036935603+0000, 1391, 12292
2022-11-17T11:21:17,144044935+0000, 1391, 12292
2022-11-17T11:21:17,251145702+0000, 1391, 12292
2022-11-17T11:21:17,358699111+0000, 1391, 12292
2022-11-17T11:21:17,465812170+0000, 1391, 12292
2022-11-17T11:21:17,572755253+0000, 1391, 12292
2022-11-17T11:21:17,680190662+0000, 1391, 12292
2022-11-17T11:21:17,787103539+0000, 1391, 12292
2022-11-17T11:21:17,894808641+0000, 1391, 12292
2022-11-17T11:21:18,002282992+0000, 1391, 12292
2022-11-17T11:21:18,121145667+0000, 1391, 12292
2022-11-17T11:21:18,228206318+0000, 1391, 12292
2022-11-17T11:21:18,335441936+0000, 1391, 12292
2022-11-17T11:21:18,441937275+0000, 1391, 12292
2022-11-17T11:21:18,549066925+0000, 1391, 12292
2022-11-17T11:21:18,656013485+0000, 1391, 12292
2022-11-17T11:21:18,763299486+0000, 1391, 12292
2022-11-17T11:21:18,871383603+0000, 1391, 12292
2022-11-17T11:21:18,978521318+0000, 1391, 12292
2022-11-17T11:21:19,085866169+0000, 1391, 12292
2022-11-17T11:21:19,203892586+0000, 1403, 12311
2022-11-17T11:21:19,311974259+0000, 1403, 12311
2022-11-17T11:21:19,419653863+0000, 1403, 12311
2022-11-17T11:21:19,527771863+0000, 1403, 12311
2022-11-17T11:21:19,634496670+0000, 1403, 12311
2022-11-17T11:21:19,741565266+0000, 1403, 12311
2022-11-17T11:21:19,849005815+0000, 1403, 12311
2022-11-17T11:21:19,957612866+0000, 1403, 12311
2022-11-17T11:21:20,064607114+0000, 1403, 12311
2022-11-17T11:21:20,171086764+0000, 1403, 12311
2022-11-17T11:21:20,289129201+0000, 1403, 12311
2022-11-17T11:21:20,395962790+0000, 1403, 12311
2022-11-17T11:21:20,502825704+0000, 1403, 12311
2022-11-17T11:21:20,609443321+0000, 1403, 12311
2022-11-17T11:21:20,718318390+0000, 1403, 12311
2022-11-17T11:21:20,826201073+0000, 1403, 12311
2022-11-17T11:21:20,932943843+0000, 1403, 12311
2022-11-17T11:21:21,039421419+0000, 1403, 12311
2022-11-17T11:21:21,145965970+0000, 1403, 12311
2022-11-17T11:21:21,254566158+0000, 1403, 12311
2022-11-17T11:21:21,373214994+0000, 1405, 12297
2022-11-17T11:21:21,480387514+0000, 1405, 12297
2022-11-17T11:21:21,587151403+0000, 1405, 12297
2022-11-17T11:21:21,695322692+0000, 1405, 12297
2022-11-17T11:21:21,802047499+0000, 1405, 12297
2022-11-17T11:21:21,908613019+0000, 1405, 12297
2022-11-17T11:21:22,015358404+0000, 1405, 12297
2022-11-17T11:21:22,122905150+0000, 1405, 12297
2022-11-17T11:21:22,231771374+0000, 1405, 12297
2022-11-17T11:21:22,338387598+0000, 1405, 12297
2022-11-17T11:21:22,456159662+0000, 1405, 12297
2022-11-17T11:21:22,562603154+0000, 1405, 12297
2022-11-17T11:21:22,668828892+0000, 1405, 12297
2022-11-17T11:21:22,775344859+0000, 1405, 12297
2022-11-17T11:21:22,883250544+0000, 1405, 12297
2022-11-17T11:21:22,990757367+0000, 1405, 12297
2022-11-17T11:21:23,097979108+0000, 1405, 12297
2022-11-17T11:21:23,204539900+0000, 1405, 12297
2022-11-17T11:21:23,311438690+0000, 1405, 12297
2022-11-17T11:21:23,418423080+0000, 1405, 12297
2022-11-17T11:21:23,537001294+0000, 1405, 12297
2022-11-17T11:21:23,643899203+0000, 1405, 12297
2022-11-17T11:21:23,751400425+0000, 1405, 12297
2022-11-17T11:21:23,859444618+0000, 1405, 12297
2022-11-17T11:21:23,966759473+0000, 1405, 12297
2022-11-17T11:21:24,074348138+0000, 1405, 12297
2022-11-17T11:21:24,181431792+0000, 1405, 12297
2022-11-17T11:21:24,288487184+0000, 1405, 12297
2022-11-17T11:21:24,395461024+0000, 1405, 12297
2022-11-17T11:21:24,502372268+0000, 1405, 12297
2022-11-17T11:21:24,622986303+0000, 1411, 12310
2022-11-17T11:21:24,731061964+0000, 1411, 12310
2022-11-17T11:21:24,837722832+0000, 1411, 12310
2022-11-17T11:21:24,945099943+0000, 1411, 12310
2022-11-17T11:21:25,052717952+0000, 1411, 12310
2022-11-17T11:21:25,159611092+0000, 1411, 12310
2022-11-17T11:21:25,266811935+0000, 1411, 12310
2022-11-17T11:21:25,374189977+0000, 1411, 12310
2022-11-17T11:21:25,481299260+0000, 1411, 12310
2022-11-17T11:21:25,588866224+0000, 1411, 12310
2022-11-17T11:21:25,706831798+0000, 1411, 12310
2022-11-17T11:21:25,814284730+0000, 1411, 12310
2022-11-17T11:21:25,921359719+0000, 1411, 12310
2022-11-17T11:21:26,028603181+0000, 1411, 12310
2022-11-17T11:21:26,136340733+0000, 1411, 12310
2022-11-17T11:21:26,244592883+0000, 1411, 12310
2022-11-17T11:21:26,351739755+0000, 1411, 12310
2022-11-17T11:21:26,458608530+0000, 1411, 12310
2022-11-17T11:21:26,565924667+0000, 1411, 12310
2022-11-17T11:21:26,672490017+0000, 1411, 12310
2022-11-17T11:21:26,790017415+0000, 1409, 12307
2022-11-17T11:21:26,896824695+0000, 1409, 12307
2022-11-17T11:21:27,003489911+0000, 1409, 12307
2022-11-17T11:21:27,110968581+0000, 1409, 12307
2022-11-17T11:21:27,218967539+0000, 1409, 12307
2022-11-17T11:21:27,326095236+0000, 1409, 12307
2022-11-17T11:21:27,432764409+0000, 1409, 12307
2022-11-17T11:21:27,539436377+0000, 1409, 12307
2022-11-17T11:21:27,646283501+0000, 1409, 12307
2022-11-17T11:21:27,754620399+0000, 1409, 12307
2022-11-17T11:21:27,873010083+0000, 1409, 12307
2022-11-17T11:21:27,980457815+0000, 1409, 12307
2022-11-17T11:21:28,088057771+0000, 1409, 12307
2022-11-17T11:21:28,195640044+0000, 1409, 12307
2022-11-17T11:21:28,304176704+0000, 1409, 12307
2022-11-17T11:21:28,411756923+0000, 1409, 12307
2022-11-17T11:21:28,518931056+0000, 1409, 12307
2022-11-17T11:21:28,625347819+0000, 1409, 12307
2022-11-17T11:21:28,731833971+0000, 1409, 12307
2022-11-17T11:21:28,838294025+0000, 1409, 12307
2022-11-17T11:21:28,956173619+0000, 1409, 12307
2022-11-17T11:21:29,064879393+0000, 1409, 12307
2022-11-17T11:21:29,172234493+0000, 1409, 12307
